placement for the grid collision tower sprites
y-axis
468, 395, 321, 246

x-axis
175-176, 250, 326, 401, 558, 636, 711.6, 768.4

placement for the enemies
y-axis
505.7, 431.8, 358, 284, 210

x-axis
137, 212, 289, 363, 440, 517, 597, 676, 749, 824.5

----------------------------
Tower Sprites
175.5, 468
250, 468
326, 468
401, 468
558, 468
636, 468
711.6, 468
768.4, 468

175.5, 395
250, 395
326, 395
401, 395
558, 395
636, 395
711.6, 395
768.4, 395

175.5, 321
250, 321
326, 321
401, 321
558, 321
636, 321
711.6, 321
768.4, 321

175.5, 246
250, 246
326, 246
401, 246
558, 246
636, 246
711.6, 246
768.4, 246

-----------------------
Enemy Sprites

137, 505.7
212, 505.7
289, 505.7
363, 505.7
440, 505.7
517, 505.7
597, 505.7
676, 505.7
749, 505.7
824.5, 505.7

137, 431.8
212, 431.8
289, 431.8
363, 431.8
440, 431.8
517, 431.8
597, 431.8
676, 431.8
749, 431.8
824.5, 431.8

137, 358
212, 358
289, 358
363, 358
440, 358
517, 358
597, 358
676, 358
749, 358
824.5, 358

137, 284
212, 284
289, 284
363, 284
440, 284
517, 284
597, 284
676, 284
749, 284
824.5, 284

137, 210
212, 210
289, 210
363, 210
440, 210
517, 210
597, 210
676, 210
749, 210
824.5, 210
